,year,HPG,VCB,AAA,FLC,VIC
0,10/12/2021,46.5,100,17,15,103.1
1,9/12/2021,47.1,99.2,16.8,15.3,107
2,8/12/2021,47.2,98.7,16.6,14.9,105.9
3,7/12/2021,47.6,98.2,16.55,14.7,106.7
4,6/12/2021,45.75,95.4,16.25,14.55,105.6
5,3/12/2021,47.7,98,16.9,14.6,105.5
6,2/12/2021,48.6,99.1,17.55,15,107.2
7,1/12/2021,49,99,17.4,15.5,106
8,30/11/2021,48.95,98.9,16.85,14.65,105
9,29/11/2021,48.4,101.1,16.8,15.05,105.3
10,26/11/2021,49.05,105,16.9,15.15,98.5
11,25/11/2021,49.25,107.1,17.1,15.7,94
12,24/11/2021,48.65,104.8,17,14.8,94.1
13,23/11/2021,49.55,99.1,17.1,14.7,94.8
14,22/11/2021,48.65,98.8,16.6,15.5,94.8
15,19/11/2021,48,100,17,16.5,94.8
16,18/11/2021,49.95,99.2,16.8,15.6,94.5
17,17/11/2021,51.4,98.7,16.6,14.6,96.3
18,16/11/2021,52,97.2,16.55,14.45,94.8
19,15/11/2021,53.6,97.7,16.25,14.85,95
20,12/11/2021,54.6,98.2,18.3,13.9,94.5
21,11/11/2021,54,98.3,18,13.7,94.8
22,10/11/2021,55.3,97.6,18.15,13,94.9
23,9/11/2021,56.5,97.1,17.1,13.2,94.9
24,8/11/2021,56.8,98.2,17.25,13.2,94.9
25,5/11/2021,56.6,97.5,17,12.55,95
26,4/11/2021,56.3,98.4,16.6,12.2,95
27,3/11/2021,55.6,98.7,16.7,12.2,95.3
28,2/11/2021,55.5,97.9,17.5,12.7,95.8
29,1/11/2021,55.7,97,17.55,12.45,95.8
30,29/10/2021,57.1,97.1,17.5,12.1,95.8
31,28/10/2021,58,97,18.6,12.1,95
32,27/10/2021,57.9,98,17.9,12,95
33,26/10/2021,56.3,94,17.8,12,92.2
34,25/10/2021,55.1,94.1,18.4,11.75,92.1
35,22/10/2021,56.7,94.3,16.15,11.8,91.8
36,21/10/2021,57.2,94,15.9,12,91
37,20/10/2021,56.9,95,16,11.55,92.3
38,19/10/2021,57.2,96.4,16.1,11.7,92.4
39,18/10/2021,57.9,96,16.15,11.6,92.6
40,15/10/2021,57.3,96.5,16.35,12,92.6
41,14/10/2021,56.8,96.7,16.55,12.3,92.5
42,13/10/2021,56.8,97,16.25,12.1,93.1
43,12/10/2021,57,97,16.25,12.45,92.9
44,11/10/2021,57.2,97.5,16.2,12.15,91.9
45,8/10/2021,55.7,98,17.2,11.4,89.3
46,7/10/2021,55.6,97.9,16.9,11.25,88.8
47,6/10/2021,56.1,96.1,17.1,11.25,88.6
48,5/10/2021,55.3,94,16.2,11.1,88.6
49,4/10/2021,55.5,94.6,16.15,11.4,87.8
50,1/10/2021,53.4,95.9,15.55,10.7,87.7
51,30/09/2021,52.9,97.2,15.7,10.85,88
52,29/09/2021,53.3,98.5,15.7,10.85,86.7
53,28/09/2021,52.6,99.2,15.75,10.8,86.5
54,27/09/2021,50.8,98,15.55,10.8,86.1
55,24/09/2021,50.8,99.5,16.3,11.45,87
56,23/09/2021,51,99.5,16.6,11.3,87.1
57,22/09/2021,50.9,99.5,16.5,11.8,86.1
58,21/09/2021,50.8,98,16.05,11.05,85.6
59,20/09/2021,51.3,99.6,16.2,10.9,86.7
60,17/09/2021,51.8,97,16.2,10.85,86.8
61,16/09/2021,51.3,96.8,16.55,10.75,87.8
62,15/09/2021,51.6,95.6,16.1,10.9,91.4
63,14/09/2021,50.3,95.6,16,10.8,92
64,13/09/2021,50.8,98.1,15.7,10.7,92
65,10/9/2021,51.5,99.2,16.3,10.85,91.3
66,9/9/2021,51.9,99.3,16.15,11.05,91.3
67,8/9/2021,51.3,99.7,15.9,10.75,92
68,7/9/2021,50.7,100,16,10.8,93.9
69,6/9/2021,51.2,100,16.65,11.25,95
70,1/9/2021,49.2,99.4,16.2,10.55,94.1
71,31/08/2021,49.3,99.4,17.75,10.7,94.1
72,30/08/2021,48.7,99.3,17.7,10.4,94.1
73,27/08/2021,47.6,97.8,17.85,10.25,94.8
74,26/08/2021,47.7,96.8,17.15,10.25,93.1
75,25/08/2021,48.4,97.2,16.55,10.4,94.6
76,24/08/2021,47.75,98.1,16,10.4,95.4
77,23/08/2021,47.5,97.1,16.1,10.5,96.2
78,20/08/2021,49,98.3,15.8,10.45,97.7
79,19/08/2021,50.9,102.8,16.05,10.95,104
80,18/08/2021,50.4,101,16.3,11.1,97.9
81,17/08/2021,50.4,101,17.7,11.3,98.9
82,16/08/2021,49.45,100.6,18,11.15,110.6
83,13/08/2021,48.65,99.6,17.35,11.2,110.9
84,12/8/2021,48.4,99.9,17.25,11.55,111.1
85,11/8/2021,48.95,100.5,17,11.6,111
86,10/8/2021,49.4,99,17.35,11.45,113
87,9/8/2021,49.7,98.3,17.25,11.6,113.1
88,6/8/2021,48.4,98.1,17.05,11.6,113.3
89,5/8/2021,48.8,99.4,16.45,11.45,114
90,4/8/2021,47.5,97.5,17.1,11.4,114
91,3/8/2021,47.25,97,16.8,11.05,114.5
92,2/8/2021,47.25,97.3,16.25,10.9,107.5
93,30/07/2021,47.3,98,16.15,11.15,107.2
94,29/07/2021,47.1,97.9,16.15,11,105.1
95,28/07/2021,46.7,97,16.3,10.9,105.2
96,27/07/2021,46.2,95,16,10.85,104.3
97,26/07/2021,45.6,96,15.45,10.6,104.2
98,23/07/2021,45.8,97,15.55,10.6,104
99,22/07/2021,47.2,100.3,15.95,11,106.2
100,21/07/2021,46.75,99,15.45,10.85,104
101,20/07/2021,47.3,100.2,15.45,11,103
102,19/07/2021,44.3,97,14.8,10.3,102.9
103,16/07/2021,46.75,102.5,15.75,11.05,105.8
104,15/07/2021,46.5,102.5,15.95,11.5,102
105,14/07/2021,45,98.5,16.2,11.8,103
106,13/07/2021,45.5,98.8,16.25,11.1,103
107,12/7/2021,44.95,97,16.25,10.4,104
108,9/7/2021,47.3,98,16.15,11.15,108.6
109,8/7/2021,49,111,16.15,11.8,111
110,7/7/2021,49.9,113.4,17.3,11.9,114
111,6/7/2021,48,112,17.3,11.9,112
112,5/7/2021,51.2,113.6,18.55,12.3,115
113,2/7/2021,52.3,114.9,18.65,13.05,117.5
114,1/7/2021,52.8,116.4,19.45,13.4,118.6
115,30/06/2021,51.5,116.4,19.5,13.3,119
116,29/06/2021,51.8,114,20.5,13.65,118
117,28/06/2021,52.4,112.6,19.75,13.7,116.7
118,25/06/2021,50.7,112.6,18.5,13.95,117.5
119,24/06/2021,50.6,110.7,19.05,13.95,117.5
120,23/06/2021,51.4,101.8,15.55,13.7,116.9
121,22/06/2021,51.7,103.4,15.9,14.55,117.5
122,21/06/2021,51.2,107.1,15.4,14.4,117.4
123,18/06/2021,52.1,108.5,16.1,15.15,117.4
124,17/06/2021,51.4,104.2,16.7,14.7,117
125,16/06/2021,51.8,104,17.9,13.75,119.1
126,15/06/2021,53.2,102.8,17.25,13.2,121.7
127,14/06/2021,53.6,102,16.15,13.05,120
128,11/6/2021,53.1,102.8,16.1,13.15,118
129,10/6/2021,51.6,101.8,15.7,13.1,116.5
130,9/6/2021,50.3,102,15.5,12.95,118.8
131,8/6/2021,50,100,15.45,12.7,119.8
132,7/6/2021,52.7,103,16,13.45,123
133,4/6/2021,54.5,104.9,16.3,14.3,121
134,3/6/2021,54.3,106.7,16.25,13.95,118.5
135,2/6/2021,54,109.7,19,13.05,117.5
136,1/6/2021,55.5,107.6,19.5,12.2,120
137,31/05/2021,52.7,106.6,19.9,11.95,117.5
138,28/05/2021,67.1,108.5,19.45,12.15,119.8
139,27/05/2021,66.8,98.7,15.15,11.4,120.3
140,26/05/2021,67.8,100.4,15.5,11.8,121.7
141,25/05/2021,67.4,99.8,15.75,12.15,122.3
142,24/05/2021,65.4,97.4,15.6,12.15,122.1
143,21/05/2021,65.6,96.8,15.3,12.7,122.5
144,20/05/2021,66.6,99,14.85,12.1,122.9
145,19/05/2021,66.1,94.1,15.1,12.8,120.1
146,18/05/2021,63.4,94.6,15.15,12.45,121
147,17/05/2021,61.9,96,15.3,12.3,124
148,14/05/2021,61.4,96.9,15.55,12.25,125.3
149,13/05/2021,61.5,96.8,15.5,11.45,126.5
150,12/5/2021,62.7,106,15.2,11.55,129.8
151,11/5/2021,62,103.7,15.15,11.6,131
152,10/5/2021,63,98.6,15.25,11.25,132.5
153,7/5/2021,60.8,99.6,15.35,11.5,132
154,6/5/2021,59.4,99.3,15.85,11.3,132.5
155,5/5/2021,59.3,101.2,16.3,11.15,133.7
156,4/5/2021,59.8,99.1,16,10.45,133.6
157,29/04/2021,58.1,100,16.45,11.05,131
158,28/04/2021,56,99,16.7,11.05,131.5
159,27/04/2021,56.3,99,16.7,11.05,132.1
160,26/04/2021,55.1,98.6,16,11.7,131.5
161,23/04/2021,56.4,104,16.75,12.4,138.3
162,22/04/2021,55,103,16.3,12.15,138.8
163,20/04/2021,57.2,103,17.5,12.8,143.1
164,19/04/2021,57.8,98.5,17.75,13.1,144
165,16/04/2021,54.6,97.3,15.8,13.85,143
166,15/04/2021,54.5,97.9,15.7,13.25,140.9
167,14/04/2021,53,98.1,15.7,12.4,140
168,13/04/2021,50.1,97,15.35,11.6,140.7
169,12/4/2021,51.2,98.9,17.5,12.3,132
170,9/4/2021,49.55,97.5,17.5,12,124.9
171,8/4/2021,49.35,100,16.8,11.8,125.4
172,7/4/2021,49.45,101.9,16.5,11.5,127.7
173,6/4/2021,49.4,101.9,16.4,12.2,127
174,5/4/2021,49.3,102,16.55,12.5,124.3
175,2/4/2021,49.05,97.8,16.65,12.2,123
176,1/4/2021,48.5,96.9,16.65,12.05,123
177,31/03/2021,46.8,94.8,16.6,12.75,117.9
178,30/03/2021,46.45,94.8,16.45,12.6,117
179,29/03/2021,46.3,95.3,16.25,11.8,112.8
180,26/03/2021,46.2,96.3,17.85,11.05,112.4
181,25/03/2021,45,95.1,17.9,10.45,110.4
182,24/03/2021,45.45,94.7,17.85,9.79,107.9
183,23/03/2021,46.6,95.8,17,9.18,106.5
184,22/03/2021,46.75,97,16.7,8.58,107.3
185,19/03/2021,47.15,94.2,16.7,8.02,108.4
186,18/03/2021,46.6,97.5,16.7,7.5,106.6
187,17/03/2021,46.3,95.6,16.6,7.2,104.7
188,16/03/2021,46.1,95.7,17,7.7,105.4
189,15/03/2021,46.5,96.3,16.75,7.38,106
190,12/3/2021,46.45,95.8,16.15,6.9,105.9
191,11/3/2021,46.4,96.3,16.2,6.62,105.9
192,10/3/2021,45.6,95.5,15.7,6.59,106
193,9/3/2021,45.85,95,14.7,6.5,104.3
194,8/3/2021,46.3,95.2,14.7,6.35,106
195,5/3/2021,46,94.9,15.95,6.3,106.3
196,4/3/2021,45.9,95.1,15.9,6.55,106.9
197,3/3/2021,46.8,94.7,15.7,6.52,106.9
198,2/3/2021,46.7,95.8,16.35,6.1,108.2
199,1/3/2021,46.2,97,16.7,6.5,108.5
200,26/02/2021,45.6,98.2,14.3,6.29,109
201,25/02/2021,44.15,98.2,14.3,6.1,108.9
202,24/02/2021,43.6,98.1,14,6.05,108.2
203,23/02/2021,43.3,100,14.25,6.15,110
204,22/02/2021,43.4,100.6,14.4,6.32,109.7
205,19/02/2021,43.45,101.3,14.3,6.08,109
206,18/02/2021,43.85,102,14.15,6.3,110
207,17/02/2021,43.45,100,13.65,6.7,108
208,9/2/2021,41.8,97.2,13,6.39,106.2
209,8/2/2021,40.9,94.1,12.85,6.1,101
210,5/2/2021,42.5,96.4,14.6,6.52,107.5
211,4/2/2021,41.8,97.3,14.3,6.1,105
212,3/2/2021,42,98.4,14.8,6.2,107.5
213,2/2/2021,40.5,99.3,14.8,6.16,105.9
214,1/2/2021,38.35,91.1,14.85,5.76,99
215,29/01/2021,39.15,93,13.1,6.19,99.4
216,28/01/2021,37.5,90.6,12.95,6.65,93
217,27/01/2021,40.3,97.4,13.9,7.15,100
218,26/01/2021,42.3,100.9,14.4,6.7,101.5
219,25/01/2021,43.7,102.5,14.7,6.27,104.8
220,22/01/2021,43.65,103,14.45,5.86,105
221,21/01/2021,44.2,103,14.7,5.48,105.1
222,20/01/2021,41.7,99.1,14.25,5.13,103.3
223,19/01/2021,41.6,99,14.4,5.28,102.7
224,18/01/2021,44.6,103.3,15.45,5.54,110.3
225,15/01/2021,44.5,100,13.25,5.18,111.2
226,14/01/2021,44.45,98.9,13.3,4.93,110.4
227,13/01/2021,44.7,98.9,13.3,4.91,111.1
228,12/1/2021,44.9,96.5,12.5,5.02,114.4
229,11/1/2021,43.05,91.1,12.2,4.75,113.8
230,8/1/2021,42.75,104.8,15.15,4.44,111.8
231,7/1/2021,42.8,107,15.2,4.43,110.1
232,6/1/2021,42.8,105,14.55,4.39,110.2
233,5/1/2021,42.35,99.3,14.5,4.49,109.7
234,4/1/2021,42.3,99,14.55,4.6,108
