year,symbol,price
10/12/2021,AAA,17.00
09/12/2021,AAA,16.80
08/12/2021,AAA,16.60
07/12/2021,AAA,16.55
06/12/2021,AAA,16.25
03/12/2021,AAA,16.90
02/12/2021,AAA,17.55
01/12/2021,AAA,17.40
30/11/2021,AAA,16.85
29/11/2021,AAA,16.80
26/11/2021,AAA,16.90
25/11/2021,AAA,17.10
24/11/2021,AAA,17.00
23/11/2021,AAA,17.10
22/11/2021,AAA,16.60
19/11/2021,AAA,17.50
18/11/2021,AAA,18.60
17/11/2021,AAA,17.90
16/11/2021,AAA,17.80
15/11/2021,AAA,18.40
12/11/2021,AAA,18.30
11/11/2021,AAA,18.00
10/11/2021,AAA,18.15
09/11/2021,AAA,17.10
08/11/2021,AAA,17.25
05/11/2021,AAA,17.00
04/11/2021,AAA,16.60
03/11/2021,AAA,16.70
02/11/2021,AAA,17.50
01/11/2021,AAA,17.55
29/10/2021,AAA,17.20
28/10/2021,AAA,16.90
27/10/2021,AAA,17.10
26/10/2021,AAA,16.20
25/10/2021,AAA,16.15
22/10/2021,AAA,16.15
21/10/2021,AAA,15.90
20/10/2021,AAA,16.00
19/10/2021,AAA,16.10
18/10/2021,AAA,16.15
15/10/2021,AAA,16.35
14/10/2021,AAA,16.55
13/10/2021,AAA,16.25
12/10/2021,AAA,16.25
11/10/2021,AAA,16.20
08/10/2021,AAA,16.20
07/10/2021,AAA,16.55
06/10/2021,AAA,16.10
05/10/2021,AAA,16.00
04/10/2021,AAA,15.70
01/10/2021,AAA,15.55
30/09/2021,AAA,15.70
29/09/2021,AAA,15.70
28/09/2021,AAA,15.75
27/09/2021,AAA,15.55
24/09/2021,AAA,16.30
23/09/2021,AAA,16.60
22/09/2021,AAA,16.50
21/09/2021,AAA,16.05
20/09/2021,AAA,16.20
17/09/2021,AAA,16.55
16/09/2021,AAA,16.00
15/09/2021,AAA,16.10
14/09/2021,AAA,15.80
13/09/2021,AAA,16.05
10/09/2021,AAA,16.30
09/09/2021,AAA,16.15
08/09/2021,AAA,15.90
07/09/2021,AAA,16.00
06/09/2021,AAA,16.65
01/09/2021,AAA,16.20
31/08/2021,AAA,17.75
30/08/2021,AAA,17.70
27/08/2021,AAA,17.85
26/08/2021,AAA,17.15
25/08/2021,AAA,17.10
24/08/2021,AAA,16.80
23/08/2021,AAA,16.80
20/08/2021,AAA,17.40
19/08/2021,AAA,18.25
18/08/2021,AAA,17.65
17/08/2021,AAA,17.70
16/08/2021,AAA,18.00
13/08/2021,AAA,17.35
12/08/2021,AAA,17.25
11/08/2021,AAA,17.00
10/08/2021,AAA,17.35
09/08/2021,AAA,17.25
06/08/2021,AAA,17.05
05/08/2021,AAA,16.45
04/08/2021,AAA,16.20
03/08/2021,AAA,16.25
02/08/2021,AAA,16.25
30/07/2021,AAA,16.15
29/07/2021,AAA,16.15
28/07/2021,AAA,16.30
27/07/2021,AAA,16.00
26/07/2021,AAA,15.45
23/07/2021,AAA,15.55
22/07/2021,AAA,15.95
21/07/2021,AAA,15.45
